time_iso,time_unix,electric_powerDemand,gnss_altitude,gnss_course,gnss_latitude,gnss_longitude,itcs_busRoute,itcs_numberOfPassengers,itcs_stopName,odometry_articulationAngle,odometry_steeringAngle,odometry_vehicleSpeed,odometry_wheelSpeed_fl,odometry_wheelSpeed_fr,odometry_wheelSpeed_ml,odometry_wheelSpeed_mr,odometry_wheelSpeed_rl,odometry_wheelSpeed_rr,status_doorIsOpen,status_gridIsAvailable,status_haltBrakeIsActive,status_parkBrakeIsActive,temperature_ambient,traction_brakePressure,traction_tractionForce
"2019-06-05T02:50:33Z",1559703033,7500.725,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,245294.6,0
"2019-06-05T02:50:34Z",1559703034,7409.316,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246961.8,0
"2019-06-05T02:50:35Z",1559703035,7426.239,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,247500,0
"2019-06-05T02:50:36Z",1559703036,7561.208,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246921.8,0
"2019-06-05T02:50:37Z",1559703037,7767.756,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246666.7,0
"2019-06-05T02:50:38Z",1559703038,7959.138,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,247203,0
"2019-06-05T02:50:39Z",1559703039,8010.831,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,245900,0
"2019-06-05T02:50:40Z",1559703040,8220.199,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246666.7,0
"2019-06-05T02:50:41Z",1559703041,8405.417,411.5,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246066.7,0
"2019-06-05T02:50:42Z",1559703042,8308.523,411.4023,6.000442,0.8269787,0.1484819,"-",NaN,"-",0.008726646,-0,0,0,0,0,0,0,0,1,0,0,1,295.15,246911.8,0
